title,artist,genre,year,price,type,country,label
"Rumours","Fleetwood Mac",Pop,1977,45,band,United Kingdom,Warner Bros.
"Hotel California","Eagles",Pop,1976,42,band,United States,Asylum
"Bridge Over Troubled Water","Simon & Garfunkel",Pop,1970,38,band,United States,Columbia
"Off the Wall",Michael Jackson,Pop,1979,350,male,United States,Epic
"ABBA Gold: Greatest Hits",ABBA,Pop,1976,300,band,Sweden,Polar
"Beethoven-Violin Concerto","Salvatore Accardo,Gewandhausorchester Leipzig, Kurt Masur",Classical,1981,117,Classical,Italy,Philips
"Bruckner-The Symphonies","Herbert von Karajan,Berlin Philharmonic",Classical,1976,390,Classical,Austria,Deutsche Grammophon
